Z, 0.183721
%, 0.103488
<, 0.0805233
c, 0.0686046
X, 0.0651163
L, 0.0590116
P, 0.0561047
|, 0.0537791
a, 0.0526163
W, 0.0514535
[, 0.0386628
R, 0.0311047
s, 0.0238372
i, 0.0186047
*, 0.0171512
\, 0.015407
4, 0.015407
+, 0.0148256
O, 0.0130814
7, 0.0122093
>, 0.00843023
., 0.00668605
y, 0.00610465
6, 0.00174419
o, 0.00116279
:, 0.000872093
C, 0.000290698
